team1,team2,score1,score2
angers,montpellier,1,0
nimes,nice,0,1
saint etienne,reims,2,0
toulouse,amiens,0,1
bordeaux,caen,0,0
marseille,dijon,2,0
rennes,nantes,1,1
monaco,paris,0,4
lyon,saint etienne,1,0
paris,toulouse,1,0
caen,monaco,0,1
dijon,bordeaux,0,0
nantes,angers,1,1
reims,guingamp,2,1
strasbourg alsace,nimes,0,1
montpellier,rennes,2,2
nice,lille,2,0
amiens,marseille,1,3
saint etienne,nantes,3,0
lille,lyon,2,2
angers,caen,1,1
guingamp,nice,0,0
monaco,montpellier,1,2
nimes,amiens,3,0
toulouse,dijon,2,2
marseille,reims,0,0
rennes,strasbourg alsace,1,4
bordeaux,paris,2,2
amiens,monaco,0,2
nice,angers,0,0
montpellier,lille,0,1
bordeaux,saint etienne,3,2
caen,nimes,1,2
dijon,guingamp,2,1
lyon,rennes,0,2
nantes,marseille,3,2
reims,toulouse,0,1
strasbourg alsace,paris,1,1
guingamp,amiens,1,2
rennes,dijon,2,0
strasbourg alsace,caen,2,2
lille,reims,1,1
angers,bordeaux,1,2
monaco,nice,1,1
nimes,nantes,1,0
toulouse,lyon,2,2
saint etienne,marseille,2,1
paris,montpellier,5,1
reims,strasbourg alsace,2,1
nimes,lille,2,3
nice,saint etienne,1,1
lyon,monaco,3,0
caen,toulouse,2,1
amiens,angers,0,0
nantes,montpellier,2,0
guingamp,rennes,2,1
marseille,bordeaux,1,0
dijon,paris,0,4
angers,marseille,1,1
lille,toulouse,1,2
monaco,guingamp,0,2
montpellier,lyon,1,1
paris,nantes,1,0
reims,caen,2,2
rennes,nimes,4,0
saint etienne,dijon,3,0
strasbourg alsace,nice,2,0
bordeaux,amiens,1,1
caen,lille,1,3
lyon,reims,1,1
amiens,paris,0,3
guingamp,saint etienne,0,1
nice,bordeaux,1,0
nantes,rennes,0,1
dijon,montpellier,1,1
toulouse,strasbourg alsace,1,2
marseille,monaco,1,1
nimes,angers,3,1
lille,amiens,2,1
paris,guingamp,9,0
monaco,strasbourg alsace,1,5
nimes,toulouse,0,1
reims,nice,1,1
rennes,montpellier,0,0
angers,nantes,1,0
caen,marseille,0,1
bordeaux,dijon,1,0
saint etienne,lyon,1,2
marseille,lille,1,2
dijon,monaco,2,0
guingamp,reims,0,1
nice,nimes,2,0
strasbourg alsace,bordeaux,1,0
montpellier,caen,2,0
amiens,lyon,0,1
toulouse,angers,0,0
paris,rennes,4,1
nantes,saint etienne,1,1
lille,nice,4,0
angers,dijon,1,0
monaco,toulouse,2,1
rennes,amiens,1,0
reims,marseille,2,1
nimes,montpellier,1,1
lyon,paris,2,1
saint etienne,strasbourg alsace,2,1
caen,nantes,0,1
bordeaux,guingamp,0,0
dijon,marseille,1,2
paris,bordeaux,1,0
amiens,caen,1,0
strasbourg alsace,angers,1,2
montpellier,monaco,2,2
nantes,nimes,2,4
toulouse,reims,1,1
guingamp,lille,0,2
rennes,saint etienne,3,0
nice,lyon,1,0
nimes,dijon,2,0
lyon,guingamp,2,1
marseille,amiens,2,0
angers,nice,3,0
monaco,nantes,1,0
bordeaux,toulouse,2,1
caen,strasbourg alsace,0,0
lille,montpellier,0,0
reims,rennes,2,0
saint etienne,paris,0,1
dijon,saint etienne,0,1
strasbourg alsace,lille,1,1
paris,nimes,3,0
amiens,nice,1,0
guingamp,angers,1,0
montpellier,reims,2,4
nantes,bordeaux,1,0
toulouse,caen,1,1
rennes,marseille,1,1
monaco,lyon,2,0
caen,paris,1,2
angers,monaco,2,2
reims,amiens,2,2
guingamp,nantes,0,0
lille,dijon,1,0
nice,strasbourg alsace,1,0
lyon,toulouse,5,1
marseille,saint etienne,2,0
bordeaux,montpellier,1,2
nimes,rennes,3,1
strasbourg alsace,lyon,2,2
amiens,nimes,2,1
dijon,reims,1,1
monaco,bordeaux,1,1
montpellier,angers,2,2
saint etienne,lille,0,1
toulouse,guingamp,1,0
rennes,caen,3,1
marseille,nice,1,0
nantes,paris,3,2
nice,toulouse,1,1
lille,monaco,0,1
angers,amiens,0,0
caen,saint etienne,0,5
guingamp,dijon,1,0
nimes,strasbourg alsace,2,2
lyon,montpellier,3,2
reims,nantes,1,0
bordeaux,rennes,1,1
paris,marseille,3,1
rennes,lyon,0,1
marseille,angers,2,2
amiens,bordeaux,0,0
dijon,nice,0,1
monaco,caen,0,1
nantes,lille,2,3
toulouse,paris,0,1
saint etienne,nimes,2,1
montpellier,guingamp,2,0
strasbourg alsace,reims,4,0
bordeaux,marseille,2,0
lyon,dijon,1,3
amiens,saint etienne,2,2
angers,rennes,3,3
guingamp,monaco,1,1
nimes,caen,2,0
reims,lille,1,1
toulouse,nantes,1,0
nice,montpellier,1,0
paris,strasbourg alsace,2,2
dijon,amiens,0,0
nantes,lyon,2,1
marseille,nimes,2,1
caen,angers,0,1
monaco,reims,0,0
strasbourg alsace,guingamp,3,3
montpellier,toulouse,2,1
rennes,nice,0,0
saint etienne,bordeaux,3,0
lille,paris,5,1
dijon,rennes,3,2
lyon,angers,2,1
guingamp,marseille,1,3
nice,caen,0,1
nimes,bordeaux,2,1
strasbourg alsace,montpellier,1,3
nantes,amiens,3,2
toulouse,lille,0,0
reims,saint etienne,0,2
paris,monaco,3,1
bordeaux,lyon,2,3
amiens,strasbourg alsace,0,0
angers,reims,1,1
caen,dijon,1,0
lille,nimes,5,0
nice,guingamp,3,0
saint etienne,toulouse,2,0
marseille,nantes,1,2
montpellier,paris,3,2
rennes,monaco,2,2
strasbourg alsace,marseille,1,1
paris,nice,1,1
bordeaux,angers,0,1
guingamp,caen,0,0
reims,nimes,0,3
montpellier,amiens,1,1
nantes,dijon,3,0
toulouse,rennes,2,2
monaco,saint etienne,2,3
lyon,lille,2,2
saint etienne,montpellier,0,1
angers,paris,1,2
amiens,toulouse,0,0
caen,reims,3,2
dijon,strasbourg alsace,2,1
nice,nantes,1,1
nimes,monaco,1,0
rennes,guingamp,1,1
lille,bordeaux,1,0
marseille,lyon,0,3
bordeaux,reims,0,1
guingamp,nimes,2,2
lille,angers,5,0
lyon,caen,4,0
monaco,amiens,2,0
montpellier,nantes,1,1
paris,dijon,4,0
saint etienne,nice,3,0
strasbourg alsace,rennes,0,2
toulouse,marseille,2,5
amiens,guingamp,2,1
angers,saint etienne,1,1
caen,bordeaux,0,1
dijon,toulouse,2,1
marseille,montpellier,1,0
nantes,strasbourg alsace,0,1
nice,monaco,2,0
nimes,lyon,2,3
reims,paris,3,1
rennes,lille,3,1
bayern,hoffenheim,3,1
berlin,nurnberg,1,0
bremen,hannover,1,1
freiburg,frankfurt,0,2
wolfsburg,schalke,2,1
dusseldorf,augsburg,1,2
borussia monchengladbach,leverkusen,2,0
mainz,stuttgart,1,0
dortmund,leipzig,4,1
hannover,dortmund,0,0
hoffenheim,freiburg,3,1
leverkusen,wolfsburg,1,3
frankfurt,bremen,1,2
augsburg,borussia monchengladbach,1,1
nurnberg,mainz,1,1
stuttgart,bayern,0,3
leipzig,dusseldorf,1,1
schalke,berlin,0,2
dortmund,frankfurt,3,1
bayern,leverkusen,3,1
leipzig,hannover,3,2
mainz,augsburg,2,1
wolfsburg,berlin,2,2
dusseldorf,hoffenheim,2,1
borussia monchengladbach,schalke,2,1
bremen,nurnberg,1,1
freiburg,stuttgart,3,3
stuttgart,dusseldorf,0,0
hoffenheim,dortmund,1,1
berlin,borussia monchengladbach,4,2
augsburg,bremen,2,3
wolfsburg,freiburg,1,3
nurnberg,hannover,2,0
schalke,bayern,0,2
leverkusen,mainz,1,0
frankfurt,leipzig,1,1
bremen,berlin,3,1
bayern,augsburg,1,1
hannover,hoffenheim,1,3
freiburg,schalke,1,0
dusseldorf,leverkusen,1,2
dortmund,nurnberg,7,0
leipzig,stuttgart,2,0
borussia monchengladbach,frankfurt,3,1
mainz,wolfsburg,0,0
berlin,bayern,2,0
schalke,mainz,1,0
hoffenheim,leipzig,1,2
stuttgart,bremen,2,1
wolfsburg,borussia monchengladbach,2,2
nurnberg,dusseldorf,3,0
leverkusen,dortmund,2,4
frankfurt,hannover,4,1
augsburg,freiburg,4,1
bremen,wolfsburg,2,0
dortmund,augsburg,4,3
hannover,stuttgart,3,1
mainz,berlin,0,0
dusseldorf,schalke,0,2
bayern,borussia monchengladbach,0,3
freiburg,leverkusen,0,0
hoffenheim,frankfurt,1,2
leipzig,nurnberg,6,0
frankfurt,dusseldorf,7,1
leverkusen,hannover,2,2
stuttgart,dortmund,0,4
augsburg,leipzig,0,0
wolfsburg,bayern,1,3
nurnberg,hoffenheim,1,3
schalke,bremen,0,2
berlin,freiburg,1,1
borussia monchengladbach,mainz,4,0
freiburg,borussia monchengladbach,3,1
dortmund,berlin,2,2
hannover,augsburg,1,2
mainz,bayern,1,2
dusseldorf,wolfsburg,0,3
hoffenheim,stuttgart,4,0
nurnberg,frankfurt,1,1
leipzig,schalke,0,0
bremen,leverkusen,2,6
stuttgart,frankfurt,0,3
bayern,freiburg,1,1
schalke,hannover,3,1
leverkusen,hoffenheim,1,4
augsburg,nurnberg,2,2
wolfsburg,dortmund,0,1
berlin,leipzig,0,3
borussia monchengladbach,dusseldorf,3,0
mainz,bremen,2,1
hannover,wolfsburg,2,1
hoffenheim,augsburg,2,1
bremen,borussia monchengladbach,1,3
freiburg,mainz,1,3
dusseldorf,berlin,4,1
nurnberg,stuttgart,0,2
dortmund,bayern,3,2
leipzig,leverkusen,3,0
frankfurt,schalke,3,0
leverkusen,stuttgart,2,0
bayern,dusseldorf,3,3
berlin,hoffenheim,3,3
augsburg,frankfurt,1,3
mainz,dortmund,1,2
wolfsburg,leipzig,1,0
schalke,nurnberg,5,2
freiburg,bremen,1,1
borussia monchengladbach,hannover,4,1
dusseldorf,mainz,0,1
dortmund,freiburg,2,0
stuttgart,augsburg,1,0
bremen,bayern,1,2
hannover,berlin,0,2
hoffenheim,schalke,1,1
leipzig,borussia monchengladbach,2,0
frankfurt,wolfsburg,1,2
nurnberg,leverkusen,1,1
bremen,dusseldorf,3,1
bayern,nurnberg,3,0
schalke,dortmund,1,2
leverkusen,augsburg,1,0
freiburg,leipzig,3,0
wolfsburg,hoffenheim,2,2
berlin,frankfurt,1,0
mainz,hannover,1,1
borussia monchengladbach,stuttgart,3,0
nurnberg,wolfsburg,0,2
hoffenheim,borussia monchengladbach,0,0
stuttgart,berlin,2,1
augsburg,schalke,1,1
hannover,bayern,0,4
dusseldorf,freiburg,2,0
dortmund,bremen,2,1
leipzig,mainz,4,1
frankfurt,leverkusen,2,1
borussia monchengladbach,nurnberg,2,0
berlin,augsburg,2,2
wolfsburg,stuttgart,2,0
dusseldorf,dortmund,2,1
schalke,leverkusen,1,2
bayern,leipzig,1,0
bremen,hoffenheim,1,1
freiburg,hannover,1,1
mainz,frankfurt,2,2
dortmund,borussia monchengladbach,2,1
leverkusen,berlin,3,1
leipzig,bremen,3,2
stuttgart,schalke,1,3
hannover,dusseldorf,0,1
nurnberg,freiburg,0,1
frankfurt,bayern,0,3
augsburg,wolfsburg,2,3
hoffenheim,mainz,1,1
hoffenheim,bayern,1,3
leverkusen,borussia monchengladbach,0,1
stuttgart,mainz,2,3
frankfurt,freiburg,3,1
augsburg,dusseldorf,1,2
hannover,bremen,0,1
leipzig,dortmund,0,1
nurnberg,berlin,1,3
schalke,wolfsburg,2,1
berlin,schalke,2,2
dortmund,hannover,5,1
borussia monchengladbach,augsburg,2,0
freiburg,hoffenheim,2,4
mainz,nurnberg,2,1
wolfsburg,leverkusen,0,3
bremen,frankfurt,2,2
bayern,stuttgart,4,1
dusseldorf,leipzig,0,4
hannover,leipzig,0,3
hoffenheim,dusseldorf,1,1
leverkusen,bayern,3,1
frankfurt,dortmund,1,1
berlin,wolfsburg,0,1
nurnberg,bremen,1,1
schalke,borussia monchengladbach,0,2
augsburg,mainz,3,0
stuttgart,freiburg,2,2
mainz,leverkusen,1,5
dortmund,hoffenheim,3,3
leipzig,frankfurt,0,0
borussia monchengladbach,berlin,0,3
hannover,nurnberg,2,0
freiburg,wolfsburg,3,3
bayern,schalke,3,1
bremen,augsburg,4,0
dusseldorf,stuttgart,3,0
augsburg,bayern,2,3
schalke,freiburg,0,0
hoffenheim,hannover,3,0
stuttgart,leipzig,1,3
wolfsburg,mainz,3,0
berlin,bremen,1,1
frankfurt,borussia monchengladbach,1,1
leverkusen,dusseldorf,2,0
nurnberg,dortmund,0,0
bremen,stuttgart,1,1
bayern,berlin,1,0
borussia monchengladbach,wolfsburg,0,3
freiburg,augsburg,5,1
mainz,schalke,3,0
dusseldorf,nurnberg,2,1
hannover,frankfurt,0,3
dortmund,leverkusen,3,2
leipzig,hoffenheim,1,1
augsburg,dortmund,2,1
schalke,dusseldorf,0,4
leverkusen,freiburg,2,0
frankfurt,hoffenheim,3,2
berlin,mainz,2,1
nurnberg,leipzig,0,1
borussia monchengladbach,bayern,1,5
stuttgart,hannover,5,1
wolfsburg,bremen,1,1
bremen,schalke,4,2
bayern,wolfsburg,6,0
dortmund,stuttgart,3,1
leipzig,augsburg,0,0
freiburg,berlin,2,1
mainz,borussia monchengladbach,0,1
hoffenheim,nurnberg,2,1
hannover,leverkusen,2,3
dusseldorf,frankfurt,0,3
borussia monchengladbach,freiburg,1,1
schalke,leipzig,0,1
stuttgart,hoffenheim,1,1
augsburg,hannover,3,1
wolfsburg,dusseldorf,5,2
berlin,dortmund,2,3
leverkusen,bremen,1,3
frankfurt,nurnberg,1,0
bayern,mainz,6,0
hoffenheim,leverkusen,4,1
dortmund,wolfsburg,2,0
bremen,mainz,3,1
freiburg,bayern,1,1
dusseldorf,borussia monchengladbach,3,1
nurnberg,augsburg,3,0
leipzig,berlin,5,0
hannover,schalke,0,1
frankfurt,stuttgart,3,0
mainz,freiburg,5,0
schalke,frankfurt,1,2
leverkusen,leipzig,2,4
stuttgart,nurnberg,1,1
berlin,dusseldorf,1,2
wolfsburg,hannover,3,1
bayern,dortmund,5,0
augsburg,hoffenheim,0,4
borussia monchengladbach,bremen,1,1
nurnberg,schalke,1,1
leipzig,wolfsburg,2,0
stuttgart,leverkusen,0,1
bremen,freiburg,2,1
hannover,borussia monchengladbach,0,1
dortmund,mainz,2,1
hoffenheim,berlin,2,0
dusseldorf,bayern,1,4
frankfurt,augsburg,1,3
bayern,bremen,1,0
leverkusen,nurnberg,2,0
augsburg,stuttgart,6,0
mainz,dusseldorf,3,1
borussia monchengladbach,leipzig,1,2
schalke,hoffenheim,2,5
freiburg,dortmund,0,4
berlin,hannover,0,0
wolfsburg,frankfurt,1,1
augsburg,leverkusen,1,4
dortmund,schalke,2,4
leipzig,freiburg,2,1
frankfurt,berlin,0,0
hannover,mainz,1,0
dusseldorf,bremen,4,1
stuttgart,borussia monchengladbach,1,0
hoffenheim,wolfsburg,1,4
nurnberg,bayern,1,1
mainz,leipzig,3,3
bayern,hannover,3,1
borussia monchengladbach,hoffenheim,2,2
berlin,stuttgart,3,1
wolfsburg,nurnberg,2,0
bremen,dortmund,2,2
schalke,augsburg,0,0
freiburg,dusseldorf,1,1
leverkusen,frankfurt,6,1
hoffenheim,bremen,0,1
dortmund,dusseldorf,3,2
leverkusen,schalke,1,1
leipzig,bayern,0,0
stuttgart,wolfsburg,3,0
augsburg,berlin,3,4
hannover,freiburg,3,0
nurnberg,borussia monchengladbach,0,4
frankfurt,mainz,0,2
bayern,frankfurt,5,1
schalke,stuttgart,0,0
borussia monchengladbach,dortmund,0,2
berlin,leverkusen,1,5
bremen,leipzig,2,1
freiburg,nurnberg,5,1
mainz,hoffenheim,4,2
wolfsburg,augsburg,8,1
dusseldorf,hannover,2,1
man united,leicester,2,1
newcastle,tottenham,1,2
fulham,crystal palace,0,2
watford,brighton,2,0
huddersfield,chelsea,0,3
bournemouth,cardiff,2,0
wolverhampton,everton,2,2
liverpool,west ham,4,0
southampton,burnley,0,0
arsenal,man city,0,2
cardiff,newcastle,0,0
everton,southampton,2,1
leicester,wolverhampton,2,0
west ham,bournemouth,1,2
tottenham,fulham,3,1
chelsea,arsenal,3,2
man city,huddersfield,6,1
burnley,watford,1,3
brighton,man united,3,2
crystal palace,liverpool,0,2
wolverhampton,man city,1,1
arsenal,west ham,3,1
southampton,leicester,1,2
huddersfield,cardiff,0,0
bournemouth,everton,2,2
liverpool,brighton,1,0
watford,crystal palace,2,1
fulham,burnley,4,2
newcastle,chelsea,1,2
man united,tottenham,0,3
leicester,liverpool,1,2
chelsea,bournemouth,2,0
everton,huddersfield,1,1
west ham,wolverhampton,0,1
crystal palace,southampton,0,2
brighton,fulham,2,2
man city,newcastle,2,1
cardiff,arsenal,2,3
watford,tottenham,2,1
burnley,man united,0,2
tottenham,liverpool,1,2
man city,fulham,3,0
newcastle,arsenal,1,2
huddersfield,crystal palace,0,1
bournemouth,leicester,4,2
chelsea,cardiff,4,1
watford,man united,1,2
wolverhampton,burnley,1,0
everton,west ham,1,3
southampton,brighton,2,2
fulham,watford,1,1
liverpool,southampton,3,0
cardiff,man city,0,5
man united,wolverhampton,1,1
leicester,huddersfield,3,1
crystal palace,newcastle,0,0
burnley,bournemouth,4,0
brighton,tottenham,1,2
west ham,chelsea,0,0
arsenal,everton,2,0
west ham,man united,3,1
man city,brighton,2,0
arsenal,watford,2,0
newcastle,leicester,0,2
wolverhampton,southampton,2,0
huddersfield,tottenham,0,2
everton,fulham,3,0
chelsea,liverpool,1,1
cardiff,burnley,1,2
bournemouth,crystal palace,2,1
brighton,west ham,1,0
watford,bournemouth,0,4
leicester,everton,1,2
crystal palace,wolverhampton,0,1
burnley,huddersfield,1,1
tottenham,cardiff,1,0
man united,newcastle,3,2
fulham,arsenal,1,5
southampton,chelsea,0,3
liverpool,man city,0,0
chelsea,man united,2,2
man city,burnley,5,0
cardiff,fulham,4,2
newcastle,brighton,0,1
wolverhampton,watford,0,2
bournemouth,southampton,0,0
west ham,tottenham,0,1
huddersfield,liverpool,0,1
everton,crystal palace,2,0
arsenal,leicester,3,1
liverpool,cardiff,4,1
fulham,bournemouth,0,3
southampton,newcastle,0,0
watford,huddersfield,3,0
brighton,wolverhampton,1,0
leicester,west ham,1,1
crystal palace,arsenal,2,2
burnley,chelsea,0,4
man united,everton,2,1
tottenham,man city,0,1
bournemouth,man united,1,2
cardiff,leicester,0,1
newcastle,watford,1,0
everton,brighton,3,1
west ham,burnley,4,2
arsenal,liverpool,1,1
wolverhampton,tottenham,2,3
man city,southampton,6,1
chelsea,crystal palace,3,1
huddersfield,fulham,1,0
cardiff,brighton,2,1
newcastle,bournemouth,2,1
southampton,watford,1,1
huddersfield,west ham,1,1
leicester,burnley,0,0
crystal palace,tottenham,0,1
liverpool,fulham,2,0
chelsea,everton,0,0
man city,man united,3,1
arsenal,wolverhampton,1,1
fulham,southampton,3,2
man united,crystal palace,0,0
watford,liverpool,0,3
everton,cardiff,1,0
west ham,man city,0,4
brighton,leicester,1,1
tottenham,chelsea,3,1
bournemouth,arsenal,1,2
wolverhampton,huddersfield,0,2
burnley,newcastle,1,2
cardiff,wolverhampton,2,1
man city,bournemouth,3,1
newcastle,west ham,0,3
huddersfield,brighton,1,2
leicester,watford,2,0
crystal palace,burnley,2,0
southampton,man united,2,2
chelsea,fulham,2,0
arsenal,tottenham,4,2
liverpool,everton,1,0
bournemouth,huddersfield,2,1
west ham,cardiff,3,1
brighton,crystal palace,3,1
watford,man city,1,2
fulham,leicester,1,1
wolverhampton,chelsea,2,1
everton,newcastle,1,1
burnley,liverpool,1,3
man united,arsenal,2,2
tottenham,southampton,3,1
bournemouth,liverpool,0,4
cardiff,southampton,1,0
arsenal,huddersfield,1,0
man united,fulham,4,1
west ham,crystal palace,3,2
burnley,brighton,1,0
chelsea,man city,2,0
leicester,tottenham,0,2
newcastle,wolverhampton,1,2
everton,watford,2,2
man city,everton,3,1
watford,cardiff,3,2
wolverhampton,bournemouth,2,0
huddersfield,newcastle,0,1
crystal palace,leicester,1,0
tottenham,burnley,1,0
fulham,west ham,0,2
southampton,arsenal,3,2
brighton,chelsea,1,2
liverpool,man united,3,1
wolverhampton,liverpool,0,2
arsenal,burnley,3,1
man city,crystal palace,2,3
newcastle,fulham,0,0
huddersfield,southampton,1,3
bournemouth,brighton,2,0
chelsea,leicester,0,1
west ham,watford,0,2
cardiff,man united,1,5
everton,tottenham,2,6
fulham,wolverhampton,1,1
liverpool,newcastle,4,0
man united,huddersfield,3,1
leicester,man city,2,1
crystal palace,cardiff,0,0
burnley,everton,1,5
tottenham,bournemouth,5,0
brighton,arsenal,1,1
watford,chelsea,1,2
southampton,west ham,1,2
fulham,huddersfield,1,0
watford,newcastle,1,1
leicester,cardiff,0,1
brighton,everton,1,0
tottenham,wolverhampton,1,3
liverpool,arsenal,5,1
crystal palace,chelsea,0,1
southampton,man city,1,3
burnley,west ham,2,0
man united,bournemouth,4,1
everton,leicester,0,1
arsenal,fulham,4,1
cardiff,tottenham,0,3
wolverhampton,crystal palace,0,2
huddersfield,burnley,1,2
bournemouth,watford,3,3
chelsea,southampton,0,0
west ham,brighton,2,2
newcastle,man united,0,2
man city,liverpool,2,1
west ham,arsenal,1,0
cardiff,huddersfield,0,0
leicester,southampton,1,2
crystal palace,watford,1,2
burnley,fulham,2,1
brighton,liverpool,0,1
chelsea,newcastle,2,1
everton,bournemouth,2,0
tottenham,man united,0,1
man city,wolverhampton,3,0
wolverhampton,leicester,4,3
liverpool,crystal palace,4,3
man united,brighton,2,1
newcastle,cardiff,3,0
southampton,everton,2,1
